,0,1,2,3,4,5
0,69.0,27.0,23.0,54.0,5.0,69.0
1,35.0,26.0,7.0,36.0,4.0,36.0
2,55.0,26.0,7.0,42.6,5.0,55.0
3,51.0,26.0,13.0,87.0,7.0,87.0
4,48.0,27.0,16.0,67.0,9.0,67.0
5,38.0,26.0,10.0,64.0,7.0,64.0
6,32.0,26.0,11.0,67.0,5.0,67.0
7,43.0,28.0,14.0,54.0,5.0,54.0
8,38.0,27.0,10.0,55.0,4.0,55.0
9,59.0,27.0,14.0,48.0,8.0,59.0
10,49.0,27.0,12.0,48.0,7.0,49.0
11,25.0,26.0,7.0,26.0,5.0,26.0
12,19.0,27.0,4.0,16.0,3.0,27.0
13,21.0,27.0,4.0,16.0,3.0,27.0
14,29.0,27.0,12.0,27.0,4.0,29.0
15,27.0,23.0,10.4,23.6,4.6,27.0
16,20.0,27.0,4.0,26.0,3.0,27.0
17,28.0,27.0,9.0,21.0,3.0,28.0
18,24.0,27.0,4.0,18.0,3.0,27.0
19,24.0,27.0,4.0,20.0,3.0,27.0
20,53.0,28.0,8.0,39.0,5.0,53.0
21,63.0,27.0,9.0,35.0,4.0,63.0
22,34.0,28.0,5.0,34.0,4.0,34.0
23,33.0,28.0,9.2,29.0,2.0,33.0
24,25.0,27.0,4.0,30.0,3.0,30.0
25,27.0,28.0,5.0,30.0,4.0,30.0
26,51.0,28.0,14.0,40.0,7.0,51.0
27,40.0,28.0,12.0,46.0,4.0,46.0
28,33.0,28.0,13.0,30.0,8.0,33.0
29,39.0,28.0,15.0,46.0,3.0,46.0
30,30.0,28.0,8.0,35.0,5.0,35.0
31,38.0,28.0,11.0,39.0,6.0,39.0
32,35.0,28.0,14.0,34.0,4.0,35.0
33,34.0,28.0,12.0,25.0,5.0,34.0
34,30.0,28.0,3.0,20.0,3.0,30.0
35,23.0,28.0,4.8,18.0,2.0,28.0
36,17.0,28.0,5.0,18.0,2.0,28.0
37,31.0,28.0,8.0,30.0,4.0,31.0
38,25.0,29.0,4.0,26.0,5.0,29.0
39,31.0,29.0,8.0,15.0,3.0,31.0
40,22.0,28.0,9.0,27.0,3.0,28.0
41,32.0,29.0,13.0,25.0,5.0,32.0
42,37.0,28.0,13.0,27.0,6.0,37.0
43,43.0,29.0,12.0,41.0,6.0,43.0
44,39.0,29.0,17.0,43.0,5.0,43.0
45,29.0,29.0,4.0,50.0,6.0,50.0
46,27.0,29.0,7.0,41.0,6.0,41.0
47,61.0,29.0,22.0,37.0,7.0,61.0
48,62.0,29.0,15.0,33.0,7.0,62.0
49,78.0,29.0,26.0,27.0,4.0,78.0
50,59.0,29.0,31.0,17.0,5.0,59.0
51,51.0,29.0,24.0,38.0,6.0,51.0
52,53.0,30.0,26.0,101.0,7.0,101.0
53,54.0,29.0,18.0,114.0,8.0,114.0
54,62.0,29.0,22.0,63.0,12.0,63.0
55,51.0,29.0,13.0,69.0,7.0,69.0
56,49.0,30.0,12.0,58.0,7.0,58.0
57,36.0,30.0,12.0,69.0,10.0,69.0
58,64.0,30.0,16.0,98.0,11.0,98.0
59,54.0,30.0,14.0,58.0,11.0,58.0
60,64.0,31.0,19.0,71.0,7.0,71.0
61,60.0,30.0,15.0,49.0,9.0,60.0
62,43.0,30.0,13.0,79.0,6.0,79.0
63,60.0,31.0,20.0,60.0,12.0,60.0
64,52.0,30.0,8.0,58.0,7.0,58.0
65,52.0,30.0,11.0,53.0,9.0,53.0
66,40.0,31.0,11.0,82.0,11.0,82.0
67,53.0,31.0,8.0,110.0,24.0,110.0
68,77.0,31.0,21.0,65.0,18.0,77.0
69,60.0,31.0,8.0,73.0,12.0,73.0
70,75.0,32.0,23.0,57.0,11.0,75.0
71,72.0,32.0,14.0,41.0,13.0,72.0
72,71.0,32.0,8.0,36.0,9.0,71.0
73,47.0,32.0,4.0,27.0,6.0,47.0
74,51.0,32.0,9.0,64.0,9.0,64.0
75,94.0,32.0,21.0,62.0,23.0,94.0
76,52.0,31.0,12.0,41.0,8.0,52.0
77,49.0,32.0,21.0,38.0,5.0,49.0
78,28.0,31.0,7.0,23.0,4.0,31.0
79,46.0,31.0,19.0,40.0,8.0,46.0
80,41.0,32.0,9.0,44.0,7.0,44.0
81,56.0,31.0,21.0,34.0,11.0,56.0
82,88.0,32.0,59.0,89.0,15.0,89.0
83,66.0,32.0,13.0,49.0,9.0,66.0
84,66.0,32.0,39.0,47.0,6.0,66.0
85,52.0,32.0,19.0,78.0,20.0,78.0
86,72.0,32.0,20.0,58.0,6.0,72.0
87,57.0,32.0,18.0,52.0,9.0,57.0
88,45.0,32.0,14.0,48.0,6.0,48.0
89,27.0,33.0,5.0,17.0,5.0,33.0
90,48.0,32.0,11.0,78.0,6.0,78.0
91,50.0,32.0,17.0,88.0,10.0,88.0
92,33.0,32.0,13.0,61.0,8.0,61.0
93,47.0,32.0,19.0,93.0,9.0,93.0
94,53.0,32.0,30.0,41.0,7.0,53.0
95,23.0,32.0,4.0,18.0,3.0,32.0
96,28.0,32.0,5.0,25.0,3.0,32.0
97,20.0,32.0,5.0,20.0,3.0,32.0
98,30.0,32.0,6.0,19.0,4.0,32.0
99,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
100,52.0,33.0,17.0,97.0,9.0,97.0
101,44.0,33.0,11.0,85.0,8.0,85.0
102,43.0,33.0,8.0,85.0,11.0,85.0
103,53.0,33.0,16.0,51.0,11.0,53.0
104,71.0,33.0,17.0,76.0,4.0,76.0
105,64.0,33.0,28.0,72.0,6.0,72.0
106,83.0,34.0,15.0,62.0,7.0,83.0
107,84.0,33.0,12.0,73.0,12.0,84.0
108,62.0,33.0,14.0,95.0,16.0,95.0
109,65.0,33.0,20.0,76.0,10.0,76.0
110,63.0,33.0,18.0,50.0,9.0,63.0
111,71.0,33.0,22.0,66.0,17.0,71.0
112,55.0,33.0,19.0,63.0,10.0,63.0
113,70.0,34.0,10.0,50.0,13.0,70.0
114,93.0,34.0,18.0,38.0,8.0,93.0
115,57.0,34.0,6.0,36.0,8.0,57.0
116,66.0,34.0,35.0,63.0,10.0,66.0
117,56.0,34.0,14.0,63.0,8.0,63.0
118,54.0,40.0,9.0,28.0,10.0,54.0
119,63.0,43.0,11.0,91.0,10.0,91.0
120,68.0,43.0,11.0,85.0,6.0,85.0
121,62.0,39.0,15.0,85.0,7.0,85.0
122,39.4,41.0,19.0,36.6,9.0,41.0
123,55.0,42.0,13.0,48.2,10.0,55.0
124,56.0,42.0,12.0,58.0,11.0,58.0
125,48.0,40.0,12.0,45.2,9.0,48.0
126,53.0,40.0,15.0,47.2,9.0,53.0
127,50.0,41.0,17.0,53.0,9.0,53.0
128,69.0,42.0,17.2,47.0,14.0,69.0
129,80.0,41.0,19.0,37.0,7.0,80.0
130,82.0,44.0,21.0,78.0,9.0,82.0
131,84.0,42.0,10.0,93.0,10.0,93.0
132,70.0,42.0,11.0,76.0,8.0,76.0
133,71.0,41.0,13.0,67.0,10.0,71.0
134,85.0,46.0,12.0,83.0,10.0,85.0
135,88.0,44.0,12.0,93.0,9.0,93.0
136,102.0,44.0,15.0,55.6,15.0,102.0
137,76.0,42.0,8.0,73.0,7.0,76.0
138,83.0,44.0,15.0,77.0,9.0,83.0
139,91.0,44.0,8.0,84.0,10.0,91.0
140,80.0,46.0,10.0,56.0,15.0,80.0
141,65.0,45.0,6.0,56.0,8.0,65.0
142,70.0,44.0,7.0,75.0,11.0,75.0
